range,label,inputs,outputs_or_side_effects,analysis
C1:9357..938B,bulk world->screen coordinate update,all logical slots,updates $1573/$15DF/$157D/$15E9/$1587; calls 938C for coords,全objectの基礎座標/状態を更新し、active main objectへ画面座標を反映。
C1:938C..93AC,project coords into object work,Y object handle,$0BA7/$0C67/$0BE7/$0CA7 from $030B/$030D/$030C/$030E,81:9A79/9F78の結果をobject座標配列へ保存。world/map座標からOAM座標への前段。
C1:93AD..93D1,bulk flag lowbits + duration nudge,A=flag bits,$1587 lowbits; $0E67=1; $15C8=A,全logical slotにflag低位を反映し、animation durationを1にして再評価を促す。
C1:93D2..93F4,bulk $0B27 group/attr rebuild,all slots,"$0B27,Y from 913D + 81:B445/B477",全objectのsprite group/attr再計算入口。
C1:93F5..9405,allocate global extra $15C9,X logical slot,$15C9=80:AF33(0x20) when semantic state 0x0C,特定semantic state用のglobal companion objectを確保。
C1:9406..9418,release global extra $15C9,X logical slot,free $15C9 via 8FF7 then FF,semantic state 0x0C終了時のglobal companion cleanup。
C1:9419..944A,refresh global companion clone $15C9,X logical; Y likely $15C9,$0B27 OR 0x30; copy coords/cursor/resources; state=parent+4,state 0x0C用の伴走object。OAM attr overlay 0x30を加え、親state+4へ派生。
C1:944B..9470,sync special ids 17/18/19,"data table C1:9471=17,18,19",exists? remove/add/sync via 958C/94D7/9474,3種類の特殊object IDを外部状態と同期する管理入口。
C1:9474..94BA,ensure logical entity id in $1569 list,A=id after 81:A91D,"insert into empty slot, then 8F40+900A",logical object listへIDを追加/再利用するspawn入口。id<17は主に前4slot制限、id>=17は後続slotも許可。
C1:94BB..94D6,make room / compact helper,"X insertion index, $1E saved index",calls 94FF shifting slots,低IDを前方slotへ入れるため、空きslotを探してlogical slot群を移動する補助。
C1:94D7..94FE,remove logical entity id,A=id after 81:A91D,cleanup matching slot then shift later slots left,despawn入口。対象IDを見つけて8FACで解放し、94FFで後続slotを詰める。
C1:94FF..958B,logical slot transfer and object state migration,"Y=source logical, X=dest logical",copies $1569/$15B9/$159B/$15A5/$15AF and object work; clears old slot/state,logical slot移動の本丸。animation state/cursor/duration/current frameまで完全移管し、旧objectをstate0/frame0へ落とす。
C1:958C..959E,logical entity existence test,A=id,Carry set if $1569 contains A,IDがlogical object listに存在するか確認する小ルーチン。
C1:959F..95E0,snapshot / restore / bulk remove logical list,A=mode 0/1/2,mode0 save $1569 to 7E:3F93; mode1 restore via 944B; mode2 remove all via 94D7,object listの退避・復元・全削除。scene transition/特殊イベント用候補。
